TL,TM,TR,ML,MM,MR,BL,BM,BR,WIN
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
-0.643739408,0.04266863,0.094714007,0.706455778,-1.077801067,0.086198678,0.01301536,0.144206425,-0.990215189,1
-0.505375699,0.412436113,0.455917054,0.589446403,-0.181522027,-0.341731913,0.742516173,0.569069999,-1.01932629,1
-1.061693555,0.982415947,-0.633841565,0.432525143,-0.460613482,-0.795529768,-0.487689352,1.098779956,0.017791108,1
0.544285933,1.007064121,1.302108057,-0.009598206,0.490688174,-0.248871058,0.030563089,1.150849539,0.059515688,1
0.267558515,0.267529155,0.579701963,0.224420546,-1.301869907,0.606990123,-1.428438537,0.301122391,0.117737891,1
-0.169119946,-1.07714359,-0.470456884,-0.033987606,0.265845172,0.26049717,1.348283739,-1.289342157,-0.000612211,1
-1.286023663,0.101547066,0.278358391,0.061216476,-0.589378643,0.142586065,-0.115216393,-0.772037284,-0.79978586,1
-1.147659954,0.471314549,0.639561439,-0.0557929,0.306900397,-0.285344525,0.61428442,-0.347173709,-0.828896961,1
-1.70397781,1.041294383,-0.45019718,-0.21271416,0.027808942,-0.73914238,-0.615921105,0.182536247,0.208220438,1
-0.097998322,1.065942557,1.485752442,-0.654837508,0.979110599,-0.19248367,-0.097668664,0.23460583,0.249945018,1
-0.37472574,0.326407591,0.763346348,-0.420818757,-0.813447483,0.663377511,-1.55667029,-0.615121318,0.30816722,1
-0.220016134,-0.560806182,0.766164227,-0.371036173,0.015594317,0.870836124,0.180036047,0.212669683,-1.016481485,1
-0.214136132,-0.288403675,0.018971862,-0.925695171,1.327197153,0.266609469,0.521138123,1.26198056,-0.146410525,1
-0.490863549,-1.027938641,-0.703434232,-0.69167642,-0.465360929,1.12247065,-0.937863502,0.412253412,-0.088188323,1
0.312126194,-1.015614554,0.264540579,-0.912738094,0.0102899,1.395800005,-0.678737282,0.438288204,-0.067326033,1
0.450489903,-0.645847071,0.625743626,-1.02974747,0.90656894,0.967869414,0.050763531,0.863151778,-0.096437134,1
-0.397178395,0.688842549,0.663017214,-0.468290745,-0.48226156,0.412865833,-1.632850047,0.673677085,0.179433542,1
