P0,P1,P2,P3,P4,P5,P6,P7,P8,WIN
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
-0.321869704,0.021334315,0.047357003,0.353227889,-0.538900534,0.043099339,0.00650768,0.072103213,-0.495107595,1
-0.252687849,0.206218056,0.227958527,0.294723201,-0.090761013,-0.170865956,0.371258086,0.284535,-0.509663145,1
-0.530846777,0.491207974,-0.316920782,0.216262571,-0.230306741,-0.397764884,-0.243844676,0.549389978,0.008895554,1
0.272142966,0.50353206,0.651054029,-0.004799103,0.245344087,-0.124435529,0.015281544,0.57542477,0.029757844,1
0.133779257,0.133764577,0.289850981,0.112210273,-0.650934953,0.303495061,-0.714219268,0.150561196,0.058868945,1
-0.084559973,-0.538571795,-0.235228442,-0.016993803,0.132922586,0.130248585,0.674141869,-0.644671078,-0.000306105,1
-0.643011831,0.050773533,0.139179196,0.030608238,-0.294689322,0.071293033,-0.057608196,-0.386018642,-0.39989293,1
-0.573829977,0.235657274,0.319780719,-0.02789645,0.153450199,-0.142672263,0.30714221,-0.173586855,-0.41444848,1
-0.851988905,0.520647192,-0.22509859,-0.10635708,0.013904471,-0.36957119,-0.307960553,0.091268123,0.104110219,1
-0.048999161,0.532971278,0.742876221,-0.327418754,0.489555299,-0.096241835,-0.048834332,0.117302915,0.124972509,1
-0.18736287,0.163203795,0.381673174,-0.210409378,-0.406723741,0.331688755,-0.778335145,-0.307560659,0.15408361,1
-0.110008067,-0.280403091,0.383082114,-0.185518087,0.007797159,0.435418062,0.090018023,0.106334842,-0.508240742,1
-0.107068066,-0.144201837,0.009485931,-0.462847586,0.663598576,0.133304735,0.260569061,0.63099028,-0.073205263,1
-0.245431775,-0.513969321,-0.351717116,-0.34583821,-0.232680464,0.561235325,-0.468931751,0.206126706,-0.044094161,1
0.156063097,-0.507807277,0.132270289,-0.456369047,0.00514495,0.697900002,-0.339368641,0.219144102,-0.033663016,1
0.225244952,-0.322923536,0.312871813,-0.514873735,0.45328447,0.483934707,0.025381765,0.431575889,-0.048218567,1
-0.198589198,0.344421275,0.331508607,-0.234145372,-0.24113078,0.206432916,-0.816425023,0.336838542,0.089716771,1
-0.370085851,0.530475497,0.489654906,-0.251656611,0.534276444,-0.321615969,0.224442842,-0.327681895,0.164352653,1
-0.50844956,0.160708014,0.128451859,-0.134647235,-0.362002596,0.106314622,-0.50505797,-0.752545469,0.193463754,1
-0.486110282,-0.512798839,-0.37417234,-0.30484476,0.094587239,0.247151735,0.207185708,-0.670825519,0.045097271,1
-0.416928428,-0.327915098,-0.193570817,-0.363349448,0.54272676,0.03318644,0.571936114,-0.458393732,0.03054172,1
